id;created_at;body;author/id;author/name;alignment;depth;user_group/id;user_group/name/en;user_group/name/fr;commentable_id;commentable_type;root_commentable_url
515;2019-01-17 10:38:20 +0100;l'état devrait mieux écouter les maires des villes;1153;guerin;0;0;;"";"";23;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/23
484;2019-01-17 08:05:30 +0100;-Les priemières économies à effectuer sont : la baisse significative des revenues du Président, des sénateurs, députés. Suppression des avantages liés a leur fonction (logement de fonction, chauffeur etc). Leur salaire doit être calqué sur le revenu médiant du français. Ils pourront augmenter leur salaire en fonction du salaire médiant du français.;2242;Even;0;0;;"";"";15;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
485;2019-01-17 08:13:26 +0100;"Il est essentiel de créer un nouveau Pole de formation professionnel gratuit.
Il aura pour objectif d identifier et d effectuer un bilan des compétences du demandeur d emploi qui souhaite se reformer professionnellement. A la suite de ce bilan, le citoyen pourra effectuer la formation qu il a identifié pendant le bilan. Sa formation sera gratuite afin qu il puisse s épanouïr et être efficace dans sa nouvelle vie professionnelle.";2242;Even;0;0;;"";"";17;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/17
486;2019-01-17 08:17:30 +0100;J ajoute il faut supprimer les revenus des hauts fonctionnaires qui leur sont versés à la fin de leur mandant. En effet toute personne qui a travaillé bénéficie d une indemnisation de courte durée. Alors pour quelles raisons ils auraient le droit a une pension à vie ? Donc suppression de cet avantage supplémentaire.;2242;Even;0;1;;"";"";484;Decidim::Comments::Comment;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
487;2019-01-17 09:04:39 +0100;"Garder les mairies,les métropoles urbaines et les régions...Mais supprimer les départements

Mutualiser les services publics dans les campagnes avec des agents polyvalents qui accueillent dans un même lieu (CAF,Pôle emploi ,CPAM,impôts...) ou (Mairie,poste etc....)...ce pourrait être un premier accueil ou une aide à remplir les dossiers sur internet ...Les dossiers compliqués seraient ensuite envoyés à l'administration centrale !";2248;Espoir;0;0;;"";"";15;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
488;2019-01-17 09:05:39 +0100;"Aucun impôt est à supprimer car celui-ci est l essence du développement de notre Pays.
Par ailleurs les impôts doivent être équitablement répartis. Tous les français doivent contribuer à l impôt à hauteur de ses moyens.
Un minimum de 10 tranches sont nécessaires afin de répartir les contributeurs.
Étant tous les actionnaires de l'Etat, nous devons être tenu informé en toute transparence de leur utilisations.
";2242;Even;0;0;;"";"";14;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/14
489;2019-01-17 09:14:02 +0100;"Afin de rendre l'd'impôts plus juste il faudrait que l ensemble des citoyens français contribues a hauteur de ses moyens. 
Et afin de lutter contre l'évasion fiscale, nous devrions effectuer un impôt sur la nationalité. Ainsi qu'on contrôle nationale des grands flux financier. En effet, le plus faible n aura jamais l'occasion de pourvoir s'évader, il devra donc payer pour les autres (c est ce qui se passe actuellement).";2242;Even;0;0;;"";"";13;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/13
490;2019-01-17 09:17:35 +0100;"Un service publique n'a pas la vocation d'être rentable.
Pour les services qui semble être obsolètes, il faudra juste prévoir une mise à jour du fonctionnement, par le biais de la formation. Mais il faut en aucun supprimer un service publique qui peut être utile et utilisé par le citoyen.";2242;Even;0;0;;"";"";16;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/16
491;2019-01-17 09:19:51 +0100;Excellente proposition !;2242;Even;0;1;;"";"";487;Decidim::Comments::Comment;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
492;2019-01-17 09:23:53 +0100;"Taxer toutes les entreprises étrangères qui font du chiffre d'affaire en France,éviter l'évasion fiscale
Taxer les entreprises qui polluent
Moins taxer les autoentrepreneurs et les TPE
Supprimer pour tous la taxe d'habitation...Sans augmenter la taxe foncière
Taxer d'avantage les gros héritages....plus de 200000 €
";2248;Espoir;0;0;;"";"";13;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/13
493;2019-01-17 09:29:48 +0100;"Taxer les entreprises qui polluent, les produits de luxe et les alcools

";2248;Espoir;0;0;;"";"";24;Decidim::Debates::Debate;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/24
